Date,Product_Name,Category,Unit_Size_kg,Unit_Price_PHP,Quantity_Sold,Sales_Value_PHP,Remaining_Stocks,Restock_Quantity
2025-09-19,Atlas MOP 50 kg,Fertilizer,25,836.14,16,13378.24,5,13
2025-09-19,Atlas Perfect Gro 14-14-14 50 kg,Fertilizer,25,1908.69,10,19086.9,2,12
2025-09-19,San Miguel Poultry Finisher 25 kg,Feeds,25,669.83,16,10717.28,4,14
2025-09-19,Charoen Pokphand Broiler Starter,Feeds,25,1166.91,13,15169.83,0,10
2025-09-19,B-MEG Pig Starter,Feeds,25,1089.32,0,0.0,9,6
2025-09-19,CPF Fish Pellets,Feeds,25,1151.06,16,18416.96,1,15
2025-09-19,B-MEG Pig Starter,Feeds,25,1088.65,9,9797.85,6,6
2025-09-15,Dona Maria Rice,Rice,25,1086.01,1,0.0,9,18
2025-09-15,Farmboy Rice,Rice,25,1098.99,21,23078.79,4,16
2025-09-15,SunRice Jasmine,Rice,25,1068.11,4,4272.44,9,8
2025-09-15,Dinorado Rice,Rice,25,1161.29,0,0.0,10,1
2025-09-15,Dona Maria Rice,Rice,25,1160.86,10,11608.6,8,9
2025-09-15,Farmboy Rice,Rice,25,1054.39,11,11598.29,9,11
2025-09-15,Dona Carmen Rice,Rice,25,1015.05,7,7105.35,9,7
2025-09-15,Goldenmine Malagkit 25 kg,Rice,25,1557.22,0,0.0,9,5
2025-09-12,Planters Products Pig Feed,Feeds,25,1044.88,7,7314.16,9,7
2025-09-12,B-MEG Broiler Starter,Feeds,25,1441.11,7,10087.77,6,13
2025-09-12,Amigo Planters Prilled Urea,Fertilizer,25,1271.69,18,22890.42,5,14
2025-09-12,Purina Chick Starter,Feeds,25,1226.45,11,13490.95,2,5
2025-09-12,Purina Chick Starter,Feeds,25,1289.24,11,14181.64,9,11
2025-09-12,Pilmico Broiler Starter,Feeds,25,1020.51,20,20410.2,8,19
2025-09-12,Starter Mash with Probiotic 25 kg,Feeds,25,1215.29,4,4861.16,9,4
2025-09-12,Atlas Prilled Urea,Fertilizer,25,1448.96,3,4346.88,9,4
2025-09-12,B-MEG Pig Starter,Feeds,25,1090.33,12,13083.96,3,12
2025-09-12,Charoen Pokphand Broiler Starter,Feeds,25,1229.04,19,23351.76,3,13
2025-09-12,Purina Chick Starter,Feeds,25,1272.96,18,22913.28,8,17
2025-09-12,Soil Conditioner Organic 50 kg,Fertilizer,25,1478.41,17,25132.97,7,16
2025-09-12,Atlas MOP 50 kg,Fertilizer,25,831.44,18,14965.92,7,19
2025-09-12,Soil Conditioner Organic 25 kg,Fertilizer,25,626.49,11,6891.39,4,10
2025-09-12,Pilmico Fish Feed,Feeds,25,1105.74,1,1105.74,9,8
2025-09-12,B-MEG Pig Starter,Feeds,25,1130.05,7,7910.35,9,9
2025-09-12,Charoen Pokphand Broiler Starter,Feeds,25,1208.79,24,29010.96,0,19
2025-09-12,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1228.54,10,12285.4,8,9
2025-09-12,Atlas Ammosul,Fertilizer,25,1048.24,5,5241.2,9,7
2025-09-08,Golden Harvest Rice,Rice,25,1082.17,12,12986.04,9,12
2025-09-08,Dona Carmen Rice,Rice,25,1042.29,15,15634.35,4,19
2025-09-08,Golden Harvest Rice,Rice,25,1105.79,13,14375.27,2,9
2025-09-08,La Union Premium Rice,Rice,25,977.23,20,19544.6,7,18
2025-09-08,Lion Ivory Classic Premium Rice,Rice,25,1078.56,12,14021.28,0,9
2025-09-08,Harvester’s Special 5 kg,Rice,25,1001.91,3,3005.73,9,12
2025-09-08,Lion Ivory Classic Premium Rice,Rice,25,1108.12,15,16621.8,6,14
2025-09-08,Golden Harvest Rice,Rice,25,1073.32,13,13953.16,0,8
2025-09-05,Charoen Pokphand Broiler Starter,Feeds,25,1186.35,15,17795.25,0,9
2025-09-05,Purina Chick Starter,Feeds,25,1263.5,19,24006.5,0,19
2025-09-05,B-MEG Pig Starter,Feeds,25,1129.27,3,3387.81,9,11
2025-09-05,Pilmico Fish Feed,Feeds,25,1088.89,16,17422.24,3,14
2025-09-05,B-MEG Pig Starter,Feeds,25,1132.88,21,23790.48,6,18
2025-09-05,Pilmico Fish Feed,Feeds,25,1123.81,15,16857.15,1,10
2025-09-05,Selecta Pig Mash,Feeds,25,1468.13,16,23490.08,0,15
2025-09-05,Valap Agri-Gypsum,Fertilizer,25,797.67,14,11167.38,0,14
2025-09-05,Charoen Pokphand Broiler Starter,Feeds,25,1180.91,10,11809.1,0,7
2025-09-05,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1183.21,23,27213.83,0,19
2025-09-05,Cargill Starter Mash,Feeds,25,1016.25,13,13211.25,0,6
2025-09-05,Amigo Planters Prilled Urea,Fertilizer,25,1235.8,19,23480.2,0,19
2025-09-05,Purina Chick Starter,Feeds,25,1294.96,7,9064.72,9,16
2025-09-05,Amigo Planters Prilled Urea,Fertilizer,25,1289.15,14,18048.1,0,6
2025-09-05,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1233.26,11,13565.86,3,5
2025-09-05,Pilmico Broiler Starter,Feeds,25,1025.13,26,26653.38,0,19
2025-09-05,Atlas Prilled Urea,Fertilizer,25,1424.51,21,29914.71,5,19
2025-09-05,Selecta Pig Mash,Feeds,25,1497.3,12,17967.6,7,19
2025-09-05,B-MEG Pig Starter,Feeds,25,1094.98,6,6569.88,0,5
2025-09-01,Farmboy Rice,Rice,25,1042.0,2,2084.0,9,9
2025-09-01,Blueberry 5451 Rice,Rice,25,1179.18,18,21225.24,0,10
2025-09-01,Vast Target Premium Premium Grower 25 kg,Feeds,25,911.73,54,49233.42,0,19
2025-09-01,Kanto Japanese Rice,Rice,25,1103.88,17,18765.96,0,12
2025-09-01,Vast Target Premium Pre-Starter 25 kg,Feeds,25,996.09,86,85663.74,0,19
2025-09-01,Sinandomeng Rice,Rice,25,1215.77,11,13373.47,3,5
2025-09-01,Lion Ivory Classic Premium Rice,Rice,25,1064.36,21,22351.56,0,17
2025-09-01,Vast Target Premium Finisher 25 kg,Feeds,25,891.84,112,99886.08,0,17
2025-09-01,Vast Target Premium Value Maxx Grower 25 kg,Feeds,25,1155.72,26,30048.72,0,19
2025-09-01,Vast Target Premium Starter 25 kg,Feeds,25,1161.27,119,138191.13,0,19
2025-09-01,Golden Harvest Rice,Rice,25,1076.39,14,15069.46,2,13
2025-09-01,Dona Maria Rice,Rice,25,1104.78,2,2209.56,9,11
2025-09-01,Vast Target Premium Gestating 25 kg,Feeds,25,977.33,27,26387.91,0,19
2025-09-01,SunRice Jasmine,Rice,25,1085.74,12,13028.88,0,9
2025-09-01,Vast Target Premium Lactating 25 kg,Feeds,25,1035.02,34,35190.68,0,19
2025-08-29,Cargill Starter Mash,Feeds,25,1066.33,7,7464.31,9,7
2025-08-29,Charoen Pokphand Broiler Starter,Feeds,25,1190.46,14,16666.44,9,14
2025-08-29,Purina Grower 25 kg,Feeds,25,1092.34,22,24031.48,6,19
2025-08-29,Atlas Prilled Urea,Fertilizer,25,1416.81,9,12751.29,7,7
2025-08-29,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1220.19,18,21963.42,6,17
2025-08-29,Purina Chick Starter,Feeds,25,1274.69,3,3824.07,9,3
2025-08-29,Charoen Pokphand Broiler Starter,Feeds,25,1197.04,5,5985.2,9,8
2025-08-29,Planters Products Pig Feed,Feeds,25,1025.23,9,9227.07,9,9
2025-08-29,Soil Conditioner Organic 50 kg,Fertilizer,25,1390.57,9,12515.13,9,9
2025-08-29,Ace NPK 15-15-30,Fertilizer,25,1522.56,7,10657.92,9,7
2025-08-29,B-MEG Broiler Starter,Feeds,25,1408.19,4,5632.76,9,4
2025-08-29,YaraMila Complex 50 kg,Fertilizer,25,929.01,7,6503.07,9,7
2025-08-29,Atlas Prilled Urea,Fertilizer,25,1422.8,12,17073.6,9,13
2025-08-29,Purina Chick Starter,Feeds,25,1279.96,0,0.0,9,1
2025-08-29,Single Super Phosphate SSP,Fertilizer,25,1697.84,9,15280.56,9,9
2025-08-29,Atlas MOP,Fertilizer,25,744.62,8,5956.96,9,11
2025-08-29,Dairy Cattle Concentrate 25 kg,Feeds,25,1466.57,7,10265.99,9,7
2025-08-29,Starter Mash with Probiotic 25 kg,Feeds,25,1236.31,13,16072.03,6,10
2025-08-29,Pilmico Broiler Starter,Feeds,25,1021.03,8,8168.24,9,8
2025-08-29,Pilmico Broiler Starter,Feeds,25,994.8,14,13927.2,8,16
2025-08-25,Goldenmine Malagkit,Rice,25,1130.24,10,11302.4,8,9
2025-08-25,Dona Maria Rice,Rice,25,1122.27,19,21323.13,6,16
2025-08-25,Kanto Japanese Rice,Rice,25,1128.25,11,12410.75,9,17
2025-08-25,Sinandomeng Rice,Rice,25,1220.36,15,18305.4,9,15
2025-08-25,Kanto Japanese Rice,Rice,25,1130.97,9,10178.73,9,12
2025-08-25,Dinorado Rice,Rice,25,1179.37,14,17690.55,9,15
2025-08-25,Dona Maria Rice,Rice,25,1111.91,21,23350.11,7,19
2025-08-25,Farmboy Rice,Rice,25,1063.05,9,9567.45,9,9
2025-08-25,SunRice Jasmine,Rice,25,1109.7,19,21084.3,2,14
2025-08-25,Dinorado Rice,Rice,25,1182.03,17,20094.51,3,18
2025-08-22,Amigo Planters Prilled Urea,Fertilizer,25,1252.07,11,13772.77,9,11
2025-08-22,Starter Crumble 10 kg,Feeds,25,1232.71,3,3698.13,9,3
2025-08-22,YaraMila Complex 50 kg,Fertilizer,25,915.78,1,915.78,9,1
2025-08-22,Soil Conditioner Organic 50 kg,Fertilizer,25,1482.08,24,35569.92,2,19
2025-08-22,Amigo Planters Prilled Urea,Fertilizer,25,1258.06,20,25161.2,0,19
2025-08-22,B-MEG Pig Starter,Feeds,25,1064.85,17,18102.45,0,13
2025-08-22,Pilmico Broiler Starter,Feeds,25,1035.63,2,2071.26,9,11
2025-08-22,Cargill Starter Mash,Feeds,25,1109.09,7,7763.63,9,7
2025-08-22,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1282.15,11,14103.65,9,15
2025-08-22,Purina Chick Starter,Feeds,25,1249.66,15,18744.9,4,13
2025-08-22,Atlas MOP,Fertilizer,25,756.81,7,5297.67,6,5
2025-08-22,Charoen Pokphand Broiler Starter,Feeds,25,1189.65,12,14275.8,9,12
2025-08-22,Purina Chick Starter,Feeds,25,1276.57,23,29361.11,5,19
2025-08-22,Charoen Pokphand Broiler Starter,Feeds,25,1210.54,13,15737.02,8,18
2025-08-22,Ace NPK 15-15-30,Fertilizer,25,1560.19,7,10921.33,5,8
2025-08-22,B-MEG Pig Starter,Feeds,25,1082.92,11,12995.04,9,13
2025-08-22,Pilmico Fish Feed,Feeds,25,1131.83,15,16977.45,3,9
2025-08-22,San Miguel Poultry Finisher 25 kg,Feeds,25,639.6,14,8954.4,7,16
2025-08-22,Pilmico Broiler Starter,Feeds,25,1022.48,7,7157.36,9,7
2025-08-22,Atlas Prilled Urea,Fertilizer,25,1501.74,12,18020.88,0,8
2025-08-22,B-MEG Pig Starter,Feeds,25,1049.79,9,9448.11,8,9
2025-08-18,Farmboy Rice,Rice,25,1073.15,17,18243.55,5,14
2025-08-18,SunRice Jasmine,Rice,25,1103.31,16,17652.96,8,15
2025-08-18,Harvester’s Special 5 kg,Rice,25,1039.5,10,10395.0,2,6
2025-08-18,SunRice Jasmine,Rice,25,1133.4,5,5667.0,9,10
2025-08-18,Farmboy Rice,Rice,25,1048.59,16,16777.44,9,16
2025-08-18,Goldenmine Malagkit,Rice,25,1106.8,5,5534.0,9,12
2025-08-18,Golden Harvest Rice,Rice,25,1084.58,12,13014.96,6,9
2025-08-18,Nueva Ecija Special Rice,Rice,25,1119.74,12,13436.88,8,15
2025-08-18,Sinandomeng Rice,Rice,25,1264.85,13,16443.05,5,13
2025-08-15,Cargill Starter Mash,Feeds,25,1049.26,11,11541.86,5,7
2025-08-15,Atlas Prilled Urea,Fertilizer,25,1399.71,15,20995.65,6,12
2025-08-15,Pilmico Fish Feed,Feeds,25,1112.99,13,14468.87,9,13
2025-08-15,Pilmico Broiler Starter,Feeds,25,1026.44,6,7185.08,9,7
2025-08-15,B-MEG Broiler Starter,Feeds,25,1411.95,7,9883.65,9,7
2025-08-15,B-MEG Pig Starter,Feeds,25,1075.55,24,25813.2,4,19
2025-08-15,B-MEG Pig Starter,Feeds,25,1110.25,13,14433.25,8,15
2025-08-15,GMC Broiler Feed,Feeds,25,1139.88,10,11398.8,9,10
2025-08-15,Amigo Planters Prilled Urea,Fertilizer,25,1266.23,19,24058.37,8,18
2025-08-15,Single Super Phosphate SSP,Fertilizer,25,1605.19,10,16051.9,9,10
2025-08-15,Purina Chick Starter,Feeds,25,1235.21,23,28409.83,4,19
2025-08-15,Amigo Planters Prilled Urea,Fertilizer,25,1260.41,6,7562.46,9,6
2025-08-15,B-MEG Pig Starter,Feeds,25,1111.84,3,3335.52,9,3
2025-08-15,B-MEG Broiler Starter,Feeds,25,1425.2,19,27078.8,6,16
2025-08-15,Amigo Planters Prilled Urea,Fertilizer,25,1311.62,6,7869.72,9,15
2025-08-15,B-MEG Pig Starter,Feeds,25,1089.35,21,22876.35,6,19
2025-08-15,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1191.44,12,14297.28,3,6
2025-08-15,Charoen Pokphand Broiler Starter,Feeds,25,1210.88,18,21795.84,0,15
2025-08-15,Atlas Prilled Urea,Fertilizer,25,1456.87,9,13111.83,9,14
2025-08-15,Cargill Grower Pellets 25 kg,Feeds,25,1237.86,8,9902.88,9,11
2025-08-15,Charoen Pokphand Broiler Starter,Feeds,25,1192.32,5,5961.6,9,9
2025-08-11,Lion Ivory Classic Premium Rice,Rice,25,1103.34,3,3310.02,9,2
2025-08-11,Nueva Ecija Special Rice,Rice,25,1128.93,5,5644.65,9,8
2025-08-11,Dinorado Rice,Rice,25,1243.39,12,14920.68,8,11
2025-08-11,Blueberry 5451 Rice,Rice,25,1170.21,10,11702.1,9,10
2025-08-11,Goldenmine Malagkit,Rice,25,1119.47,0,0.0,10,1
2025-08-11,Dinorado Rice,Rice,25,1190.07,9,10710.63,9,9
2025-08-11,Dona Carmen Rice,Rice,25,1006.47,21,21135.87,6,19
2025-08-11,Dinorado Rice,Rice,25,1239.52,6,7437.12,9,6
2025-08-08,Ace NPK 15-15-30,Fertilizer,25,1549.4,7,12395.2,8,7
2025-08-08,B-MEG Pig Starter,Feeds,25,1112.08,20,22241.6,6,18
2025-08-08,Amigo Planters Prilled Urea,Fertilizer,25,1221.22,3,3663.66,9,7
2025-08-08,Planters Products Pig Feed,Feeds,25,1091.78,14,15284.92,8,13
2025-08-08,Soil Conditioner Organic 25 kg,Fertilizer,25,626.1,16,10017.6,7,14
2025-08-08,Atlas MOP,Fertilizer,25,714.34,18,12143.78,0,10
2025-08-08,Amigo Planters Prilled Urea,Fertilizer,25,1299.1,8,10392.8,9,8
2025-08-08,B-MEG Pig Starter,Feeds,25,1098.46,13,14279.98,6,12
2025-08-08,Nova Prima Poultry Mash 25 kg,Feeds,25,942.16,12,11305.92,9,15
2025-08-08,Purina Chick Starter,Feeds,25,1256.85,14,17595.9,9,14
2025-08-08,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1260.76,8,10086.08,9,8
2025-08-08,B-MEG Broiler Starter,Feeds,25,1400.38,15,21005.7,0,13
2025-08-08,Pilmico Broiler Starter,Feeds,25,1029.86,7,7209.02,8,6
2025-08-08,B-MEG Pig Starter,Feeds,25,1074.58,15,16118.7,9,18
2025-08-08,Pilmico Broiler Starter,Feeds,25,1046.22,0,0.0,9,9
2025-08-08,Atlas Prilled Urea,Fertilizer,25,1454.53,5,7272.65,9,5
2025-08-08,Cargill Starter Mash 25 kg,Feeds,25,1295.09,14,18131.26,9,15
2025-08-08,Amigo Planters Prilled Urea,Fertilizer,25,1257.07,17,21370.19,2,12
2025-08-08,Cargill Starter Mash,Feeds,25,1006.27,23,23144.21,5,19
2025-08-08,Cargill Starter Mash,Feeds,25,1033.54,4,4134.16,9,5
2025-08-04,Dinorado Rice,Rice,25,1218.27,18,21928.86,9,19
2025-08-04,Dona Maria Rice,Rice,25,1106.95,18,19925.1,9,18
2025-08-04,Nueva Ecija Special Rice,Rice,25,1155.93,5,5779.65,9,5
2025-08-04,Dona Maria Rice,Rice,25,1101.87,5,5509.35,9,5
2025-08-04,Golden Harvest Rice,Rice,25,1101.82,7,6610.92,9,6
2025-08-04,Dona Carmen Rice,Rice,25,1026.8,6,6160.8,9,6
2025-08-04,SunRice Jasmine,Rice,25,1121.07,12,13452.84,8,11
2025-08-04,Milagrosa Rice,Rice,25,1141.7,19,21692.3,7,17
2025-08-04,La Union Premium Rice,Rice,25,958.84,11,10547.24,9,11
2025-08-04,Farmboy Rice,Rice,25,1062.15,11,11683.65,1,8
2025-08-04,Dona Maria Rice,Rice,25,1086.52,1,1086.52,9,1
2025-08-01,Atlas Prilled Urea,Fertilizer,25,1425.88,12,17110.56,3,11
2025-08-01,B-MEG Pig Starter,Feeds,25,1074.18,14,15038.52,6,14
2025-08-01,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1202.37,11,13226.07,0,7
2025-08-01,Atlas MOP 50 kg,Fertilizer,25,838.92,17,14261.64,9,17
2025-08-01,Pilmico Fish Feed,Feeds,25,1058.28,14,14815.92,9,14
2025-08-01,Purina Grower 25 kg,Feeds,25,1080.15,5,5400.75,9,5
2025-08-01,B-MEG Pig Starter,Feeds,25,1079.77,14,15116.78,3,17
2025-08-01,Purina Chick Starter,Feeds,25,1258.91,9,11330.19,6,14
2025-08-01,Atlas Perfect Gro 14-14-14 50 kg,Fertilizer,25,1934.52,14,27083.28,4,9
2025-08-01,B-MEG Broiler Starter,Feeds,25,1434.63,18,25823.34,2,14
2025-08-01,San Miguel Poultry Finisher 25 kg,Feeds,25,690.29,16,11044.64,7,14
2025-08-01,Amigo Planters Prilled Urea,Fertilizer,25,1209.06,9,10881.54,9,9
2025-08-01,Amigo Planters Prilled Urea,Fertilizer,25,1310.06,25,32751.5,0,19
2025-08-01,Amigo Planters Prilled Urea,Fertilizer,25,1245.49,19,23664.31,5,15
2025-08-01,Starter Crumble 10 kg,Feeds,25,1266.0,7,8862.0,9,7
2025-08-01,Purina Chick Starter,Feeds,25,1291.14,20,25822.8,1,18
2025-08-01,Planters Products Pig Feed,Feeds,25,1063.64,9,9572.76,9,11
2025-08-01,B-MEG Pig Starter,Feeds,25,1088.04,1,1088.04,9,10
2025-08-01,Purina Chick Starter,Feeds,25,1268.29,14,17756.06,4,12
2025-08-01,B-MEG Pig Starter,Feeds,25,1152.9,3,3458.7,6,7
2025-08-01,Selecta Pig Mash,Feeds,25,1443.11,3,4329.33,9,3
2025-08-01,Pilmico Broiler Starter,Feeds,25,1018.06,19,19343.14,4,17
2025-08-01,Cargill Starter Mash,Feeds,25,1028.55,17,17485.35,6,18
2025-07-28,Blueberry 5451 Rice,Rice,25,1157.55,12,13890.6,9,12
2025-07-28,Dona Carmen Rice,Rice,25,1050.58,4,4202.32,9,4
2025-07-28,Milagrosa Rice,Rice,25,1136.02,1,1136.02,9,5
2025-07-28,Farmboy Rice,Rice,25,1097.99,12,13175.88,9,15
2025-07-28,Dona Maria Rice,Rice,25,1093.62,13,14217.06,9,13
2025-07-28,Sinandomeng Rice,Rice,25,1268.43,10,12684.3,9,10
2025-07-28,Imported Basmati Rice,Rice,25,1176.87,22,25891.14,6,19
2025-07-28,Nueva Ecija Special Rice,Rice,25,1165.25,9,10487.25,6,6
2025-07-28,Hasmin Rice,Rice,25,1573.41,5,7867.05,5,6
2025-07-28,Goldenmine Malagkit,Rice,25,1075.62,22,23663.64,4,19
2025-07-28,Dinorado Rice,Rice,25,1223.73,14,17132.22,9,17
2025-07-28,SunRice Jasmine,Rice,25,1119.68,5,5598.4,9,5
2025-07-28,Goldenmine Malagkit,Rice,25,1067.38,7,7471.66,9,7
2025-07-28,Dona Maria Rice,Rice,25,1110.06,18,19981.08,7,16
2025-07-25,B-MEG Pig Starter,Feeds,25,1135.27,8,9082.16,9,9
2025-07-25,Purina Chick Starter,Feeds,25,1297.75,5,6488.75,9,5
2025-07-25,Purina Chick Starter,Feeds,25,1259.53,18,22671.54,9,18
2025-07-25,Purina Chick Starter,Feeds,25,1279.69,2,2559.38,9,4
2025-07-25,Starter Crumble 10 kg,Feeds,25,1240.91,12,14890.92,3,8
2025-07-25,Starter Mash with Probiotic 25 kg,Feeds,25,1252.51,3,3757.53,9,7
2025-07-25,B-MEG Pig Starter,Feeds,25,1110.84,8,8886.72,9,8
2025-07-25,YaraMila Complex 50 kg,Fertilizer,25,938.49,16,15015.84,3,16
2025-07-25,Cargill Starter Mash 25 kg,Feeds,25,1216.97,21,25556.37,7,19
2025-07-25,Atlas Ammosul,Fertilizer,25,1031.14,14,13404.82,5,12
2025-07-25,Charoen Pokphand Broiler Starter,Feeds,25,1216.06,7,8512.42,9,7
2025-07-25,Planters Products Pig Feed,Feeds,25,1040.93,20,20818.6,8,19
2025-07-25,Soil Conditioner Organic 50 kg,Fertilizer,25,1515.94,0,0.0,9,6
2025-07-25,B-MEG Pig Starter,Feeds,25,1062.29,7,7436.03,9,7
2025-07-25,Purina Grower 25 kg,Feeds,25,1081.31,13,14057.03,6,10
2025-07-25,Charoen Pokphand Broiler Starter,Feeds,25,1215.77,3,3647.31,9,3
2025-07-25,Novacid 19-19-19+3CaO+TE,Fertilizer,25,1253.56,8,10028.48,3,8
2025-07-25,Amigo Planters Prilled Urea,Fertilizer,25,1276.74,14,17874.36,7,12
2025-07-21,Golden Harvest Rice,Rice,25,1062.3,19,20183.7,7,17
2025-07-21,Harvester’s Special 25 kg,Rice,25,1230.45,16,19687.2,5,14
2025-07-21,Kanto Japanese Rice,Rice,25,1109.02,17,18853.34,4,18
2025-07-21,Dinorado Rice,Rice,25,1181.15,18,21260.7,3,15
2025-07-21,Farmboy Rice,Rice,25,1069.35,14,14970.9,9,14
2025-07-21,Dinorado Rice,Rice,25,1219.99,11,13419.89,7,14
2025-07-21,SunRice Jasmine,Rice,25,1114.48,19,21175.12,9,19
2025-07-21,SunRice Jasmine,Rice,25,1074.58,9,9671.22,6,15
2025-07-21,Nueva Ecija Special Rice,Rice,25,1187.2,18,21369.6,0,15
2025-07-21,Lion Ivory Classic Premium Rice,Rice,25,1094.24,6,6565.44,9,10
2025-07-21,Blueberry 5451 Rice,Rice,25,1162.79,11,12790.69,9,13
2025-07-21,Goldenmine Malagkit,Rice,25,1142.9,15,18286.4,5,16
2025-07-21,Imported Basmati Rice,Rice,25,1170.04,7,7020.24,9,15
2025-07-18,Soil Conditioner Organic 50 kg,Fertilizer,25,1472.51,27,39757.77,0,19
2025-07-18,Amigo Planters Prilled Urea,Fertilizer,25,1255.71,11,13812.81,9,12
2025-07-18,Charoen Pokphand Broiler Starter,Feeds,25,1199.1,13,15588.3,6,12
